Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Daylight/Dark,Weather Conditions,Local Authority ,Type of Vehicle,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty
2,25/10/2017,1450,A644,Dry,1,Daylight,1,Calderdale,9,1,3,2,24
1,27/10/2017,1630,A646,Dry,1,Daylight,1,Calderdale,19,3,2,2,15
2,28/10/2017,1313,A649,Dry,1,Daylight,1,Calderdale,9,2,3,2,30
2,29/10/2017,1220,U,Dry,1,Daylight,1,Calderdale,9,1,3,2,41
2,31/10/2017,1202,U,Dry,1,Daylight,1,Calderdale,9,1,3,1,33
1,31/10/2017,1720,U,Dry,4,Dark,1,Calderdale,9,3,3,1,25
2,31/10/2017,1851,U,Dry,4,Dark,1,Calderdale,9,1,3,1,34
3,01/11/2017,744,B6112,Dry,1,Daylight,1,Calderdale,9,1,3,1,28
1,04/11/2017,2331,U,Dry,4,Dark,1,Calderdale,9,3,3,1,42
3,05/11/2017,1020,A644,Dry,1,Daylight,1,Calderdale,19,2,3,1,5
2,05/11/2017,2259,U,Wet,4,Dark,1,Calderdale,9,1,3,2,23
1,06/11/2017,1500,U,Dry,1,Daylight,1,Calderdale,9,3,3,2,30
2,06/11/2017,1709,U,Dry,4,Dark,1,Calderdale,9,1,2,1,19
2,06/11/2017,1713,M62,Dry,4,Dark,1,Calderdale,21,1,3,1,64
1,07/11/2017,1150,U,Dry,1,Daylight,1,Calderdale,9,3,3,1,27
1,07/11/2017,1615,A6025,Dry,1,Daylight,1,Calderdale,19,3,3,1,17
2,08/11/2017,1651,U,Wet ¨ Damp,6,,1,Calderdale,9,1,3,1,40
4,08/11/2017,1743,U,Dry,7,Dark,1,Calderdale,9,1,3,2,25
1,08/11/2017,2100,U,Wet/Damp,4,Dark,1,Calderdale,9,2,3,1,25
1,09/11/2017,1730,U,Wet/Damp,4,Dark,1,Calderdale,1,1,3,1,27
1,11/11/2017,1858,M62,Dry,4,Dark,1,Calderdale,9,1,2,2,26
2,13/11/2017,1644,U,Dry,4,Dark,1,Calderdale,9,1,3,2,56
2,14/11/2017,1420,A6033,Dry,1,Daylight,1,Calderdale,9,1,3,2,61
2,19/11/2017,1030,U,Dry,1,Daylight,1,Calderdale,9,1,3,2,62
2,19/11/2017,1515,A646,Dry,1,Daylight,1,Calderdale,19,2,2,1,47
2,20/11/2017,1930,U,Wet/Damp,4,Dark,1,Calderdale,9,1,3,2,
2,23/11/2017,1610,M62,Wet ¨ Damp,4,Dark,2,Calderdale,9,1,3,1,51
2,24/11/2017,1407,A672,Wet/Damp,1,Daylight,1,Calderdale,9,1,3,1,37
2,25/11/2017,1330,U,Wet/Damp,1,Daylight,1,Calderdale,9,1,3,1,66
